,Date,Tweet,Sentiment Score,Sentiment Result
494,2019-05-26 13:08:28,Tesla Model S Performance (P100D) refresh sets 1/4-mile record fresh from the factoryhttps://www.teslarati.com/tesla-model-s-p100d-performance-sets-quarter-mile-record/ …,0.3,Positive
404,2019-07-08 05:15:13,I charged up at the 250 kw at Freemont yesterday. It was incredible. That thinner cable is honestly shocking (well not literally)! I was very impressed and the charging speed is bonkers!,0.3,Positive
201,2019-10-21 15:45:51,Tesla Model 3 wins ‘Car of the Year’ award from prestigious UK auto magazinehttps://www.teslarati.com/tesla-model-3-car-of-the-year-parkers-guide/ …,0.3,Positive
256,2019-09-22 15:59:44,"Either way, sustainable energy wins!!https://twitter.com/cleantechnica/status/1175628597018734592 …",0.3,Positive
172,2019-11-07 19:42:09,Extremism is so fun! (@waitbutwhy)https://www.youtube.com/watch?v=HLNhPMQnWu4 …,0.3,Positive
523,2019-05-14 03:06:32,Static fire test of Falcon 9 complete—targeting May 15 for launch of 60 Starlink satellites from Pad 40 in Florida,0.3,Positive
291,2019-08-29 02:00:45,3 Things I Learned While Ordering A Tesla — Tesla Store Was Useful Even For Me! https://cleantechnica.com/2019/08/28/3-things-i-learned-while-ordering-a-tesla-tesla-store-was-useful-even-for-me/ …pic.twitter.com/cToug9bQvz,0.3,Positive
73,2020-01-18 00:19:08,Latest weather data suggests sustained winds and rough seas in the recovery area during the top of tomorrow’s four-hour launch escape test window; now targeting toward the end of the window. Will continue to monitor weather and update the T-0 accordingly in the morning,0.3,Positive
175,2019-11-05 18:08:05,Static fire test of Falcon 9 complete—targeting 11/11 for launch of 60 Starlink satellites from Pad 40 in Florida,0.3,Positive
9,2020-02-20 00:51:55,"Worth reading Asimov’s Foundation
https://en.m.wikipedia.org/wiki/Foundation_series …",0.3,Positive
184,2019-10-28 16:58:37,"Homes with solar sell for 4.1% more, according to Zillow. Adding a Powerwall battery is highly likely to increase home value too imo, as security against blackouts is increasingly important. 
https://www.zillow.com/research/solar-panels-house-sell-more-23798/amp/?__twitter_impression=true …",0.3,Positive
425,2019-06-29 19:00:03,Huge thanks to all Tesla supporters around the world helping the cause. We  you!!https://twitter.com/teslaownersSV/status/1132361490688761856 …,0.30000000000000004,Positive
92,2020-01-08 17:05:30," Tesla China Team 
     Such amazing progress!!",0.30000000000000004,Positive
196,2019-10-23 21:09:18,"Tesla Q3 results:

- Shanghai Giga ahead of schedule
- Model Y ahead of schedule
- Solar installs +48% from Q2
- GAAP profitable
- Positive free cash flow",0.31363636363636366,Positive
165,2019-11-13 22:33:59,Full duration static fire test of Crew Dragon’s launch escape system complete – SpaceX and NASA teams are now reviewing test data and working toward an in-flight demonstration of Crew Dragon’s launch escape capabilitiespic.twitter.com/CMHvMRBQcW,0.31666666666666665,Positive
43,2020-02-02 21:48:53,Tesla will hold a super fun AI party/hackathon at my house with the Tesla AI/autopilot team in about four weeks. Invitations going out soon.,0.31666666666666665,Positive
369,2019-07-22 01:32:16,New @Hyperloop top speed of 463 km/h!!https://twitter.com/Hyperloop/status/1153086461681422337 …,0.3181818181818182,Positive
129,2019-12-07 04:46:11,"Super strong roof that generates clean energy, looks great & costs less than a normal roof plus solar panels! http://Tesla.com/solarglass https://twitter.com/Tesla/status/1203082344602591232 …",0.3194444444444444,Positive
320,2019-08-11 19:32:18,"Watching a movie on Tesla V10.0 is great, in large part due to the sound systemhttps://twitter.com/TeslaNY/status/1160396658003329024 …",0.32232142857142854,Positive
407,2019-07-07 15:01:42,"Over 528,000 Tesla vehicles with Autopilot HW2+ delivered to-date. The possibilities for Autopilot at such a large scale are exciting, esp for driver safety. Good luck to @elonmusk and @Tesla team in tackling this important engineering challenge. Details: https://hcai.mit.edu/tesla-autopilot-miles-and-vehicles/ …pic.twitter.com/WhI1G4i6O6",0.32285714285714284,Positive
479,2019-06-03 05:54:19,"@elonmusk Hats off to you and everyone at Tesla, these new super charger stations are incredible. 411 mi/hr is unbelievable. I love this car.pic.twitter.com/vfrNNucXzw",0.3239393939393939,Positive
168,2019-11-11 00:31:19,"Team is go for launch of 60 Starlink sats tomorrow—heaviest payload to date, first re-flight of a fairing, and first Falcon 9 to fly a fourth mission. Watching 1 sat that may not orbit raise; if not, 100% of its components will quickly burn up in Earth’s atmospherepic.twitter.com/OrI8L0ntFK",0.32666666666666666,Positive
